,,APMC,Commodity,Year,Month,arrivals_in_qtl,min_price,max_price,modal_price,date,district_name,state_name,fluctuation,deseasonalised_prices
17,16248,DHULE,WHEATHUSKED,2015,APRIL,34745,1144,1871,1474,2015-04,DHULE,MAHARASHTRA,727,1378.5814622352004
17,16249,DHULE,WHEATHUSKED,2016,APRIL,14082,1502,2084,1741,2016-04,DHULE,MAHARASHTRA,582,1757.3311329026346
17,16345,DHULE,WHEATHUSKED,2015,AUGUST,7355,1511,1911,1684,2015-08,DHULE,MAHARASHTRA,400,1344.626781852231
17,16346,DHULE,WHEATHUSKED,2016,AUGUST,4412,1609,1978,1806,2016-08,DHULE,MAHARASHTRA,369,1831.2805753911873
17,16425,DHULE,WHEATHUSKED,2014,DECEMBER,4996,1363,1699,1553,2014-12,DHULE,MAHARASHTRA,336,1377.1014146849122
17,16426,DHULE,WHEATHUSKED,2015,DECEMBER,4358,1514,1975,1624,2015-12,DHULE,MAHARASHTRA,461,1512.2093232482687
17,16535,DHULE,WHEATHUSKED,2015,FEBRUARY,3189,1287,1797,1521,2015-02,DHULE,MAHARASHTRA,510,1345.8068658076177
17,16536,DHULE,WHEATHUSKED,2016,FEBRUARY,6643,1479,1993,1632,2016-02,DHULE,MAHARASHTRA,514,1403.6977939384835
17,16631,DHULE,WHEATHUSKED,2015,JANUARY,4536,1499,1786,1623,2015-01,DHULE,MAHARASHTRA,287,1378.3416126656352
17,16632,DHULE,WHEATHUSKED,2016,JANUARY,4186,1493,2023,1625,2016-01,DHULE,MAHARASHTRA,530,1510.7040540838934
17,16751,DHULE,WHEATHUSKED,2015,JULY,9126,1268,1625,1446,2015-07,DHULE,MAHARASHTRA,357,1266.7756933367648
17,16752,DHULE,WHEATHUSKED,2016,JULY,2474,1641,1974,1790,2016-07,DHULE,MAHARASHTRA,333,1784.9028077684484
17,16838,DHULE,WHEATHUSKED,2015,JUNE,11058,1099,1711,1351,2015-06,DHULE,MAHARASHTRA,612,1180.9096775313417
17,16839,DHULE,WHEATHUSKED,2016,JUNE,6115,1613,2001,1808,2016-06,DHULE,MAHARASHTRA,388,1703.1533233120265
17,16941,DHULE,WHEATHUSKED,2015,MARCH,18400,1134,1842,1393,2015-03,DHULE,MAHARASHTRA,708,1255.3816414638086
17,16942,DHULE,WHEATHUSKED,2016,MARCH,33796,1430,1949,1644,2016-03,DHULE,MAHARASHTRA,519,1695.0611589890466
17,17036,DHULE,WHEATHUSKED,2015,MAY,11932,1158,1825,1391,2015-05,DHULE,MAHARASHTRA,667,1102.2721623980092
17,17037,DHULE,WHEATHUSKED,2016,MAY,8747,1540,2043,1791,2016-05,DHULE,MAHARASHTRA,503,1773.0034557166587
17,17134,DHULE,WHEATHUSKED,2014,NOVEMBER,9117,1310,1768,1552,2014-11,DHULE,MAHARASHTRA,458,1456.4211287507094
17,17135,DHULE,WHEATHUSKED,2015,NOVEMBER,3331,1474,2004,1571,2015-11,DHULE,MAHARASHTRA,530,1445.0699394440387
17,17227,DHULE,WHEATHUSKED,2014,OCTOBER,8108,1347,1715,1516,2014-10,DHULE,MAHARASHTRA,368,1338.6771058263364
17,17228,DHULE,WHEATHUSKED,2015,OCTOBER,4942,1480,1847,1602,2015-10,DHULE,MAHARASHTRA,367,1405.2108218326114
17,17229,DHULE,WHEATHUSKED,2016,OCTOBER,3146,1594,2004,1830,2016-10,DHULE,MAHARASHTRA,410,1492.3523914503876
17,17385,DHULE,WHEATHUSKED,2014,SEPTEMBER,15883,1175,1646,1504,2014-09,DHULE,MAHARASHTRA,471,1394.2074154013546
17,17386,DHULE,WHEATHUSKED,2015,SEPTEMBER,6887,1304,1734,1498,2015-09,DHULE,MAHARASHTRA,430,1439.009624398556
17,17387,DHULE,WHEATHUSKED,2016,SEPTEMBER,3739,1679,2026,1828,2016-09,DHULE,MAHARASHTRA,347,1693.3028124773705
17,61401,DHULE,WHEATHUSKED,2016,NOVEMBER,2175,1785,2296,2006,2016-11,DHULE,MAHARASHTRA,511,1426.9306335437761
