,,APMC,Commodity,Year,Month,arrivals_in_qtl,min_price,max_price,modal_price,date,district_name,state_name,fluctuation
8,59715,UMARKHED,PIGEON PEA TUR,2016,SEPTEMBER,120,5800,61200,6000,2016-09,YEWATMAL,MAHARASHTRA,55400
11,14805,SHEGAON,SESAMUM,2015,OCTOBER,7,6507,16793,6507,2015-10,BULDHANA,MAHARASHTRA,10286
11,54146,BARSHI,SESAMUM,2014,OCTOBER,2,1075,10500,10500,2014-10,SOLAPUR,MAHARASHTRA,9425
8,11170,GEVRAI,PIGEON PEA TUR,2015,MARCH,423,4636,13085,5536,2015-03,BEED,MAHARASHTRA,8449
8,24431,NILANGA,PIGEON PEA TUR,2015,AUGUST,158,8262,15466,8861,2015-08,LATUR,MAHARASHTRA,7204
8,14057,MEHKAR,PIGEON PEA TUR,2016,MARCH,1950,7062,13454,8134,2016-03,BULDHANA,MAHARASHTRA,6392
8,13639,MEHKAR,PIGEON PEA TUR,2015,JULY,100,4150,10101,9250,2015-07,BULDHANA,MAHARASHTRA,5951
8,37244,LOHARA,PIGEON PEA TUR,2015,DECEMBER,229,9022,14741,9568,2015-12,OSMANABAD,MAHARASHTRA,5719
8,6796,DARYAPUR,PIGEON PEA TUR,2015,JUNE,6131,4965,10561,7191,2015-06,AMARAVATHI,MAHARASHTRA,5596
9,62338,MUMBAI,RICEPADDYHUS,2016,NOVEMBER,606337,4562,9381,6023,2016-11,MUMBAI,MAHARASHTRA,4819
8,15036,SANGRAMPUR,PIGEON PEA TUR,2015,SEPTEMBER,154,4200,8900,8020,2015-09,BULDHANA,MAHARASHTRA,4700
9,45999,KHALAPURSHILPHATA,RICEPADDYHUS,2016,AUGUST,137,2500,7125,3725,2016-08,RAIGAD,MAHARASHTRA,4625
8,58547,BABHULGAON,PIGEON PEA TUR,2015,DECEMBER,290,4151,8700,5376,2015-12,YEWATMAL,MAHARASHTRA,4549
8,13832,MALKAPUR,PIGEON PEA TUR,2016,JUNE,15183,7972,12506,8804,2016-06,BULDHANA,MAHARASHTRA,4534
8,10876,AMBEJOGAI,PIGEON PEA TUR,2015,JULY,71,5634,10145,6258,2015-07,BEED,MAHARASHTRA,4511
9,46178,KHALAPURSHILPHATA,RICEPADDYHUS,2016,JULY,211,2457,6900,3793,2016-07,RAIGAD,MAHARASHTRA,4443
9,46220,KHALAPURSHILPHATA,RICEPADDYHUS,2016,JUNE,184,2463,6725,3719,2016-06,RAIGAD,MAHARASHTRA,4262
8,37094,KALAMB OS,PIGEON PEA TUR,2015,AUGUST,34,7954,12197,8477,2015-08,OSMANABAD,MAHARASHTRA,4243
8,12325,TUMSAR,PIGEON PEA TUR,2016,MARCH,739,6535,10748,6925,2016-03,BHANDARA,MAHARASHTRA,4213
7,15938,BRAHMPURI,PADDYUNHUSKED,2015,NOVEMBER,3969,1941,6059,1994,2015-11,CHANDRAPUR,MAHARASHTRA,4118
